title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,alert_new,magnitude_bins
"M 7.2 - 153 km W of Big Lagoon, California",7.2,6/15/05 2:50,5,4,green,0,1318,us,420,0,31.4,mwc,16,41.292,-125.953,"Big Lagoon, California",North America,United States of America,2005,6,Orange,8-Jul
"M 7.8 - 102 km ENE of Iquique, Chile",7.8,6/13/05 22:44,8,7,yellow,0,1020,us,714,0,16.1,mwb,115.6,-19.987,-69.197,"Iquique, Chile",South America,Chile,2005,6,Orange,8-Jul
"M 6.9 - 89 km WSW of Singkil, Indonesia",6.9,5/19/05 1:54,5,7,green,0,740,us,635,0,26,mwc,30,1.989,97.041,"Singkil, Indonesia",Asia,Indonesia,2005,5,Yellow,7-Jun
"M 6.7 - 125 km SW of Padangsidempuan, Indonesia",6.7,5/14/05 5:05,6,5,green,0,731,us,695,0,20.9,mwb,34,0.587,98.459,"Padangsidempuan, Indonesia",Asia,Indonesia,2005,5,Yellow,7-Jun
"M 6.5 - 106 km SW of Padang, Indonesia",6.5,4/10/05 11:14,3,6,green,0,657,us,478,0,21.2,mwc,30,-1.714,99.779,"Padang, Indonesia",Asia,Indonesia,2005,4,Yellow,7-Jun
"M 6.7 - 113 km SW of Padang, Indonesia",6.7,4/10/05 10:29,5,6,green,0,717,us,656,0,21.2,mwc,19,-1.644,99.607,"Padang, Indonesia",Asia,Indonesia,2005,4,Yellow,7-Jun
"M 8.6 - 78 km WSW of Singkil, Indonesia",8.6,3/28/05 16:09,0,8,green,0,1138,official,510,0,22.1,mww,30,2.085,97.108,"Singkil, Indonesia",Asia,Indonesia,2005,3,Red,9-Aug
"M 6.6 - 28 km NNW of Maebaru-ch??, Japan",6.6,3/20/05 1:53,8,7,green,0,805,us,401,0,22.9,mwc,10,33.807,130.131,"Maebaru-ch??, Japan",Asia,Japan,2005,3,Yellow,7-Jun
M 7.1 - Banda Sea,7.1,3/2/05 10:42,0,5,green,0,776,us,569,0,18.1,mwb,201.7,-6.527,129.933,Banda Sea,Asia,Indonesia,2005,3,Orange,8-Jul
"M 6.8 - 99 km WNW of Sinabang, Indonesia",6.8,2/26/05 12:56,0,6,green,0,711,us,444,0,33.8,mwb,36,2.908,95.592,"Sinabang, Indonesia",Asia,Indonesia,2005,2,Yellow,7-Jun
